CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
1975.000;2079.000;2027.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;64.000;
1973.000;2078.000;2025.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;65.000;
1971.000;2078.000;2024.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;66.000;
1968.000;2077.000;2022.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;67.000;
1966.000;2076.000;2021.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;68.000;
1963.000;2075.000;2019.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;69.000;
1960.000;2074.000;2017.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;70.000;
1958.000;2073.000;2015.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;71.000;
1953.000;2072.000;2012.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;72.000;
1949.000;2070.000;2009.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;73.000;
1946.000;2068.000;2007.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;74.000;
1941.000;2067.000;2004.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;75.000;
1937.000;2065.000;2001.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;76.000;
1932.000;2062.000;1997.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;77.000;
1926.000;1999.000;1962.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;78.000;
1920.000;1814.000;1867.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;79.000;
1914.000;1672.000;1793.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;80.000;
1908.000;1640.000;1774.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;81.000;
1902.000;1590.000;1746.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;82.000;
1895.000;1540.000;1717.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;83.000;
1888.000;1539.000;1713.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;84.000;
1880.000;1538.000;1709.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;85.000;
1872.000;1536.000;1704.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;86.000;
1867.000;1534.000;1700.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;87.000;
1859.000;1532.000;1695.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;88.000;
1852.000;1530.000;1691.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;89.000;
1845.000;1527.000;1686.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;90.000;
1837.000;1525.000;1681.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;91.000;
1829.000;1522.000;1675.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;92.000;
1820.000;1519.000;1669.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;93.000;
1811.000;1516.000;1663.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;94.000;
1803.000;1513.000;1658.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;95.000;
1794.000;1510.000;1652.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;96.000;
1785.000;1507.000;1646.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;97.000;
1777.000;1502.000;1639.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;98.000;
1768.000;1499.000;1633.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;99.000;
1758.000;1495.000;1626.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;100.000;
1748.000;1490.000;1619.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;101.000;
